,sex,xDAI_blockchain_address,trt_label,area_name,gender,biz_type,days_enrolled_0,days_active_0,bal_0,bal_1,bal_2,bal_3,bal_4,bal_5,svol_in_0,svol_in_1,svol_in_2,svol_in_3,svol_in_4,svol_in_5,svol_out_0,svol_out_1,svol_out_2,svol_out_3,svol_out_4,svol_out_5,stxns_in_0,stxns_in_1,stxns_in_2,stxns_in_3,stxns_in_4,stxns_in_5,stxns_out_0,stxns_out_1,stxns_out_2,stxns_out_3,stxns_out_4,stxns_out_5,sunique_in_0,sunique_in_1,sunique_in_2,sunique_in_3,sunique_in_4,sunique_in_5,sunique_out_0,sunique_out_1,sunique_out_2,sunique_out_3,sunique_out_4,sunique_out_5,otxns_in_0,otxns_in_1,otxns_in_2,otxns_in_3,otxns_in_4,otxns_in_5,otxns_out_0,otxns_out_1,otxns_out_2,otxns_out_3,otxns_out_4,otxns_out_5,ovol_in_0,ovol_in_1,ovol_in_2,ovol_in_3,ovol_in_4,ovol_in_5,ovol_out_0,ovol_out_1,ovol_out_2,ovol_out_3,ovol_out_4,ovol_out_5,females_sold_to_0,females_sold_to_1,females_sold_to_2,females_sold_to_3,females_sold_to_4,females_sold_to_5,females_bought_from_0,females_bought_from_1,females_bought_from_2,females_bought_from_3,females_bought_from_4,females_bought_from_5,males_sold_to_0,males_sold_to_1,males_sold_to_2,males_sold_to_3,males_sold_to_4,males_sold_to_5,males_bought_from_0,males_bought_from_1,males_bought_from_2,males_bought_from_3,males_bought_from_4,males_bought_from_5,fem_support_0,fem_support_1,fem_support_2,fem_support_3,fem_support_4,fem_support_5,food_water_vol_0,food_water_vol_1,food_water_vol_2,food_water_vol_3,food_water_vol_4,food_water_vol_5,labour_vol_0,labour_vol_1,labour_vol_2,labour_vol_3,labour_vol_4,labour_vol_5,health_vol_0,health_vol_1,health_vol_2,health_vol_3,health_vol_4,health_vol_5,savings_vol_0,savings_vol_1,savings_vol_2,savings_vol_3,savings_vol_4,savings_vol_5,shop_vol_0,shop_vol_1,shop_vol_2,shop_vol_3,shop_vol_4,shop_vol_5,education_vol_0,education_vol_1,education_vol_2,education_vol_3,education_vol_4,education_vol_5,food_water_n_0,food_water_n_1,food_water_n_2,food_water_n_3,food_water_n_4,food_water_n_5,labour_n_0,labour_n_1,labour_n_2,labour_n_3,labour_n_4,labour_n_5,health_n_0,health_n_1,health_n_2,health_n_3,health_n_4,health_n_5,savings_n_0,savings_n_1,savings_n_2,savings_n_3,savings_n_4,savings_n_5,shop_n_0,shop_n_1,shop_n_2,shop_n_3,shop_n_4,shop_n_5,education_n_0,education_n_1,education_n_2,education_n_3,education_n_4,education_n_5,transport_n_0,transport_n_1,transport_n_2,transport_n_3,transport_n_4,transport_n_5,energy_n_0,energy_n_1,energy_n_2,energy_n_3,energy_n_4,energy_n_5,environment_n_0,environment_n_1,environment_n_2,environment_n_3,environment_n_4,environment_n_5,other_n_0,other_n_1,other_n_2,other_n_3,other_n_4,other_n_5
104,0,0x338b84A3B9b99114A210f246C50A9Bd76d28E013,1,Nairobi,male,Shop,699,399,38.49357102561791,40.926661049948805,70.12374134191961,70.12374134191961,72.31352236381741,72.31352236381741,21.65450121654501,21.65450121654501,21.65450121654501,21.65450121654501,22.62773722627737,22.62773722627737,22.9683698296837,22.9683698296837,23.69829683698297,23.69829683698297,24.184914841849146,24.184914841849146,88,88,88,88,90,90,96,96,97,97,98,98,3,3,3,3,3,3,3,3,3,3,3,3,2,4,7,7,8,8,1,3,3,3,3,4,16.839069809072893,19.27215983340379,48.4692401253746,48.4692401253746,49.68578513754005,49.68578513754005,9.732360097323602,9.781021897810218,9.781021897810218,9.781021897810218,9.781021897810218,10.559610705596107,1,1,1,1,1,1,1,1,1,1,1,1,95,95,96,96,97,97,87,87,87,87,89,89,0.24330900243309,0.24330900243309,0.24330900243309,0.24330900243309,0.24330900243309,0.24330900243309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9683698296837,22.9683698296837,23.69829683698297,23.69829683698297,24.184914841849146,24.184914841849146,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96,97,97,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0xd074d9544618DD59689BfD4a451B1880161b82a9,0,Nairobi,male,Shop,699,399,40.58989817538019,43.0473190999544,43.77724610725367,43.77724610725367,45.4804091242853,48.40011715348238,22.48175182481752,22.48175182481752,23.21167883211679,23.21167883211679,23.69829683698297,25.644768856447687,22.62773722627737,22.62773722627737,22.62773722627737,22.62773722627737,23.600973236009732,23.600973236009732,94,94,95,95,96,98,93,93,93,93,95,95,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,5,7,1,3,3,3,3,4,18.108146350562677,20.565567275136885,20.565567275136885,20.565567275136885,21.782112287302336,22.755348297034697,9.732360097323602,9.829683698296837,9.829683698296837,9.829683698296837,9.829683698296837,10.121654501216545,1,1,1,1,1,1,1,1,1,1,1,3,92,92,92,92,94,94,93,93,94,94,95,95,0.24330900243309,0.24330900243309,0.24330900243309,0.24330900243309,0.24330900243309,2.18978102189781,0.24330900243309,0.24330900243309,0.24330900243309,0.24330900243309,0.24330900243309,0.24330900243309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.38442822384428,22.38442822384428,22.38442822384428,22.38442822384428,23.357664233576642,23.357664233576642,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,92,92,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,0,0xa1F96D3F828Fa738051911d51D8dD4EeC81AAA77,1,Nairobi,male,Farming/Labour,643,373,101.43427716008868,103.89169808466289,133.08877837663368,133.08877837663368,135.5218684009646,141.04498275619574,83.30900243309001,83.30900243309001,83.30900243309001,83.30900243309001,84.52554744525547,89.07542579075425,81.58150851581509,81.58150851581509,81.58150851581509,86.44768856447688,88.88077858880779,88.88077858880779,70,70,70,70,71,73,78,78,78,80,81,81,68,68,68,68,68,68,71,71,71,72,73,73,5,7,10,10,11,13,3,5,5,5,5,6,18.12527472699867,20.582695651572877,49.779775943543676,49.779775943543676,50.99632095570913,51.96955696544149,10.70559610705596,10.802919708029197,10.802919708029197,10.802919708029197,10.802919708029197,11.630170316301703,43,43,43,44,44,44,40,40,40,40,41,42,35,35,35,36,37,37,30,30,30,30,30,31,51.0948905109489,51.0948905109489,51.0948905109489,51.0948905109489,52.311435523114355,55.961070559610704,16.54501216545012,16.54501216545012,16.54501216545012,16.54501216545012,16.54501216545012,16.54501216545012,32.67639902676399,32.67639902676399,32.67639902676399,32.67639902676399,35.10948905109489,35.10948905109489,0.0,0.0,0.0,0.0,0.0,0.0,5.35279805352798,5.35279805352798,5.35279805352798,5.35279805352798,5.35279805352798,5.35279805352798,10.94890510948905,10.94890510948905,10.94890510948905,10.94890510948905,10.94890510948905,10.94890510948905,4.13625304136253,4.13625304136253,4.13625304136253,4.13625304136253,4.13625304136253,4.13625304136253,18,18,18,18,18,18,33,33,33,33,34,34,0,0,0,0,0,0,2,2,2,2,2,2,11,11,11,11,11,11,3,3,3,3,3,3,4,4,4,6,6,6,1,1,1,1,1,1,6,6,6,6,6,6,0,0,0,0,0,0
648,1,0x3E8D43fE2C614702B62517326466F7534CB11E29,1,Kwale,female,Health,623,410,15973.989571038683,15976.203682960824,16073.527283934061,16095.449425053283,16414.427527243064,16418.563780284425,14999.172749391728,14999.294403892944,15067.42092457421,15089.318734793187,15405.863746958637,15408.5401459854,15276.812652068125,15603.576642335765,15658.077858880779,15658.077858880779,15665.620437956204,15733.065693430657,272,273,275,276,280,285,194,204,207,207,209,222,156,157,157,158,158,159,65,68,68,68,69,71,34,36,39,40,42,45,0,2,2,2,2,3,974.8168216469554,976.90927906788,1006.1063593598508,1006.1306902600941,1008.563780284425,1010.0236342990236,0.0,3.552311435523114,3.552311435523114,3.552311435523114,3.552311435523114,17.177615571776155,144,150,153,153,154,167,196,197,199,200,204,208,43,47,47,47,48,48,70,70,70,70,70,71,11173.89294403893,11174.014598540145,11242.141119221411,11264.038929440389,11580.583941605839,11582.530413625303,3051.338199513382,3051.338199513382,3051.338199513382,3051.338199513382,3051.338199513382,3077.1289537712896,1768.588807785888,1797.7858880778588,1797.7858880778588,1797.7858880778588,1805.0851581508516,1805.5717761557178,2947.3479318734794,2971.6788321167883,2971.6788321167883,2971.6788321167883,2971.922141119221,2972.530413625304,6555.036496350364,6723.649635036496,6778.1508515815085,6778.1508515815085,6778.1508515815085,6817.980535279805,877.1289537712895,925.7907542579076,925.7907542579076,925.7907542579076,925.7907542579076,925.7907542579076,0.0,0.0,0.0,0.0,0.0,0.0,62,62,62,62,62,65,21,24,24,24,25,26,25,26,26,26,27,28,76,79,82,82,82,89,4,5,5,5,5,5,0,0,0,0,0,0,2,3,3,3,3,3,4,5,5,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0
651,1,0x541ff4c3FA8143F87AD1CA81a3BFC0B256090387,0,Kwale,female,Health,622,405,7244.713478708708,7531.1976636235495,7585.187931263453,7585.528563866859,7635.406909365643,7636.380145375375,6824.525547445255,7108.369829683698,7161.897810218978,7161.897810218978,7210.559610705596,7210.559610705596,7204.720194647201,7258.248175182482,7294.501216545012,7294.501216545012,7355.81508515815,7358.248175182482,198,199,201,201,202,202,186,198,201,201,203,205,97,97,97,97,97,97,40,42,42,42,42,42,46,51,52,53,54,56,0,2,2,2,2,3,420.1879312634525,422.8278339398516,423.2901210444744,423.63075364788074,424.8472986600462,425.82053466977857,0.0,1.8004866180048662,1.8004866180048662,1.8004866180048662,1.8004866180048662,7.32360097323601,151,157,159,159,161,163,113,114,115,115,116,116,28,32,33,33,33,33,75,75,76,76,76,76,4769.172749391727,5053.01703163017,5101.678832116788,5101.678832116788,5150.340632603406,5150.340632603406,1289.6593673965936,1308.8807785888077,1338.0778588807786,1338.0778588807786,1338.0778588807786,1338.0778588807786,40.51094890510949,40.51094890510949,40.51094890510949,40.51094890510949,40.51094890510949,40.51094890510949,474.76885644768856,474.76885644768856,474.76885644768856,474.76885644768856,474.76885644768856,474.76885644768856,5055.133819951338,5083.3576642335765,5090.413625304136,5090.413625304136,5151.727493917275,5154.160583941606,147.68856447688563,147.68856447688563,147.68856447688563,147.68856447688563,147.68856447688563,147.68856447688563,196.59367396593674,200.24330900243308,200.24330900243308,200.24330900243308,200.24330900243308,200.24330900243308,52,55,56,56,56,56,16,16,16,16,16,16,32,32,32,32,32,32,75,80,82,82,84,86,5,5,5,5,5,5,4,6,6,6,6,6,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
661,1,0xFfd6BCb573F23a8C35aEDa215d483201675ab23A,1,Kwale,female,Food/Water,622,372,1403.08551983083,1647.5380745753555,1676.7351548673262,1676.7351548673262,1699.8495100984699,1700.336128103336,1160.1459854014597,1403.45498783455,1403.45498783455,1403.45498783455,1425.352798053528,1425.8394160583941,1295.8150851581509,1551.2895377128953,1551.2895377128953,1551.2895377128953,1551.2895377128953,1551.2895377128953,105,106,106,106,107,108,116,119,119,119,119,119,78,78,78,78,79,79,53,53,53,53,53,53,45,47,50,50,51,51,0,2,2,2,2,3,242.9395344293702,244.08308674080573,273.28016703277655,273.28016703277655,274.496712044942,274.496712044942,0.0,0.9245742092457421,0.9245742092457421,0.9245742092457421,0.9245742092457421,3.8686131386861313,83,86,86,86,86,86,56,57,57,57,58,59,30,30,30,30,30,30,35,35,35,35,35,35,780.0,1023.30900243309,1023.30900243309,1023.30900243309,1045.206812652068,1045.6934306569342,207.78588807785889,207.78588807785889,207.78588807785889,207.78588807785889,207.78588807785889,207.78588807785889,55.64476885644768,55.64476885644768,55.64476885644768,55.64476885644768,55.64476885644768,55.64476885644768,35.03649635036496,35.03649635036496,35.03649635036496,35.03649635036496,35.03649635036496,35.03649635036496,979.1970802919708,1234.6715328467153,1234.6715328467153,1234.6715328467153,1234.6715328467153,1234.6715328467153,9.97566909975669,9.97566909975669,9.97566909975669,9.97566909975669,9.97566909975669,9.97566909975669,0.0,0.0,0.0,0.0,0.0,0.0,27,27,27,27,27,27,24,24,24,24,24,24,4,4,4,4,4,4,46,49,49,49,49,49,2,2,2,2,2,2,0,0,0,0,0,0,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,1,0x021cE8c29fcdbc607E97E100720d8195079d79C7,1,Kwale,female,Health,616,371,1976.2585074850106,1982.3412325458378,2012.754857849974,2012.754857849974,2013.9714028621395,2013.9714028621395,1780.4379562043796,1784.0875912408758,1785.3041362530414,1785.3041362530414,1785.3041362530414,1785.3041362530414,1589.1240875912408,1589.1240875912408,1612.9683698296838,1617.8345498783453,1617.8345498783453,1617.8345498783453,102,104,105,105,105,105,75,75,79,80,80,80,75,75,76,76,76,76,34,34,36,36,36,36,36,38,41,41,42,42,1,3,3,3,3,4,195.82055128063107,198.25364130496197,227.4507215969328,227.4507215969328,228.66726660909825,228.66726660909825,5.839416058394161,9.659367396593673,9.659367396593673,9.659367396593673,9.659367396593673,17.396593673965935,38,38,40,41,41,41,56,58,58,58,58,58,10,10,10,10,10,10,12,12,12,12,12,12,1633.941605839416,1637.5912408759123,1637.5912408759123,1637.5912408759123,1637.5912408759123,1637.5912408759123,118.1265206812652,118.1265206812652,132.23844282238443,132.23844282238443,132.23844282238443,132.23844282238443,62.77372262773722,62.77372262773722,65.20681265206812,70.07299270072993,70.07299270072993,70.07299270072993,0.0,0.0,0.0,0.0,0.0,0.0,1313.7469586374696,1313.7469586374696,1313.7469586374696,1313.7469586374696,1313.7469586374696,1313.7469586374696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15,17,17,17,17,13,13,14,15,15,15,0,0,0,0,0,0,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
762,0,0xB956445075de8E5AD192E34A96d3386473c9CC08,1,Kwale,male,Food/Water,612,391,871.6991881894629,995.7867794303389,1024.9838597223097,1024.9838597223097,1056.3707210361783,1056.3707210361783,782.1411192214111,903.7956204379561,903.7956204379561,903.7956204379561,933.9659367396594,933.9659367396594,863.2116788321167,863.2116788321167,936.2043795620438,936.2043795620438,936.2043795620438,936.2043795620438,47,48,48,48,49,49,53,53,54,54,54,54,20,20,20,20,20,20,14,14,14,14,14,14,14,16,19,19,20,20,0,2,2,2,2,3,89.55806896805186,91.99115899238275,121.18823928435354,121.18823928435354,122.404784296519,122.404784296519,0.0,1.289537712895377,1.289537712895377,1.289537712895377,1.289537712895377,3.673965936739659,39,39,39,39,39,39,25,26,26,26,27,27,14,14,15,15,15,15,21,21,21,21,21,21,582.3844282238442,704.0389294403893,704.0389294403893,704.0389294403893,734.2092457420924,734.2092457420924,154.6228710462287,154.6228710462287,154.6228710462287,154.6228710462287,154.6228710462287,154.6228710462287,19.95133819951338,19.95133819951338,92.94403892944038,92.94403892944038,92.94403892944038,92.94403892944038,132.9683698296837,132.9683698296837,132.9683698296837,132.9683698296837,132.9683698296837,132.9683698296837,555.669099756691,555.669099756691,555.669099756691,555.669099756691,555.669099756691,555.669099756691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,11,11,11,11,7,7,8,8,8,8,4,4,4,4,4,4,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1251,1,0x7f072943712C2D1828f3Aa1072dc13F0F25AD4a1,0,Kwale,female,Health,587,407,2749.7316301703163,2752.164720194647,2752.164720194647,2752.164720194647,2753.3812652068127,2913.186618004866,2667.420924574209,2667.420924574209,2667.420924574209,2667.420924574209,2667.420924574209,2825.7664233576643,2730.413625304136,2733.333333333333,2736.2530413625304,2736.2530413625304,2746.9586374695864,2753.5279805352798,156,156,156,156,156,159,70,71,72,72,74,77,68,68,68,68,68,68,15,15,15,15,15,16,20,22,22,22,23,26,0,2,2,2,2,3,82.31070559610706,84.74379562043796,84.74379562043796,84.74379562043796,85.9603406326034,87.42019464720195,0.0,0.145985401459854,0.145985401459854,0.145985401459854,0.145985401459854,3.40632603406326,59,60,61,61,63,65,96,96,96,96,96,98,11,11,11,11,11,12,56,56,56,56,56,57,2265.8637469586374,2265.8637469586374,2265.8637469586374,2265.8637469586374,2265.8637469586374,2421.7761557177614,274.20924574209243,274.20924574209243,274.20924574209243,274.20924574209243,274.20924574209243,274.20924574209243,72.01946472019465,72.01946472019465,72.01946472019465,72.01946472019465,72.01946472019465,72.01946472019465,32.846715328467155,32.846715328467155,32.846715328467155,32.846715328467155,32.846715328467155,32.846715328467155,2339.1727493917274,2342.0924574209243,2345.0121654501218,2345.0121654501218,2355.7177615571777,2359.8540145985403,12.165450121654501,12.165450121654501,12.165450121654501,12.165450121654501,12.165450121654501,14.598540145985401,0.0,0.0,0.0,0.0,0.0,0.0,13,13,13,13,13,13,1,1,1,1,1,1,6,6,6,6,6,6,49,50,51,51,53,55,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522,1,0x0C5d1d7881f3c11cB70Ec320f8cCC27BC9f26eB1,1,Kwale,female,Fuel/Energy,572,396,838.794185122511,1724.701971010589,2100.3224089667933,2296.283479526404,2702.609513589664,2715.2615817161845,759.3430656934306,1635.7420924574208,1978.807785888078,2173.4549878345497,2577.3479318734794,2589.513381995134,831.581508515815,1474.7688564476884,2058.7104622871047,2185.2311435523116,2334.6228710462287,2349.221411192214,73,86,92,95,97,99,56,75,83,86,89,94,50,54,54,54,54,54,11,17,18,18,18,18,22,27,32,33,35,36,0,1,2,2,2,3,79.45111942908014,88.95987855316773,121.51462307871516,122.82849169185384,125.26158171618475,125.74819972105092,0.0,0.145985401459854,1.776155717761557,1.776155717761557,1.776155717761557,9.172749391727494,50,64,71,74,77,82,25,35,40,43,45,47,6,10,11,11,11,11,18,19,20,20,20,20,356.61800486618006,1087.0316301703162,1332.7737226277372,1527.4209245742093,1931.3138686131385,1943.4793187347932,14.598540145985401,51.0948905109489,148.4184914841849,148.4184914841849,148.4184914841849,148.4184914841849,705.8394160583941,1019.0997566909975,1335.4014598540145,1340.2676399026764,1440.9975669099756,1442.214111922141,21.8978102189781,21.8978102189781,21.8978102189781,21.8978102189781,21.8978102189781,21.8978102189781,21.8978102189781,21.8978102189781,21.8978102189781,21.8978102189781,21.8978102189781,21.8978102189781,12.822384428223843,256.61800486618006,280.94890510948903,280.94890510948903,329.61070559610704,341.7761557177615,0.0,0.0,0.0,0.0,0.0,0.0,4,6,7,7,7,7,32,39,42,43,45,47,1,1,1,1,1,1,1,1,1,1,1,1,10,16,17,17,18,20,0,0,0,0,0,0,5,5,5,5,5,5,3,7,10,12,12,13,0,0,0,0,0,0,0,0,0,0,0,0
