date,location,daily_total,gender_ratio_buyer,gender_ratio_seller,main_purpose,n_trades,n_new_users
0,0,0.0,0.0,0.0,10,0,0
1,0,0.0,0.0,0.0,10,0,65
2,0,100.0,1.0,1.0,6,1,0
3,0,0.0,0.0,0.0,10,0,0
4,0,0.0,0.0,0.0,10,0,0
5,0,0.0,0.0,0.0,10,0,0
6,0,5.0,1.0,1.0,3,1,0
7,0,830.0,0.5,2.0,3,3,0
8,0,0.0,0.0,0.0,10,0,0
9,0,202.0,2.0,2.0,3,3,0
10,0,0.0,0.0,0.0,10,0,0
11,0,300.0,0.5,0.5,3,3,0
12,0,0.0,0.0,0.0,10,0,0
13,0,0.0,0.0,0.0,10,0,0
14,0,0.0,0.0,0.0,10,0,0
15,0,400.0,1.0,1.0,3,1,0
16,0,200.0,1.0,1.0,6,1,1
17,0,0.0,0.0,0.0,10,0,0
18,0,1000.0,1.3333333333333333,0.0,3,7,0
19,0,0.0,0.0,0.0,10,0,0
20,0,0.0,0.0,0.0,10,0,0
21,0,50.0,1.0,0.0,3,1,0
22,0,0.0,0.0,0.0,10,0,0
23,0,906.0,1.6,0.4444444444444444,3,13,0
24,0,0.0,0.0,0.0,10,0,0
25,0,0.0,0.0,0.0,10,0,0
26,0,350.0,1.0,1.0,3,1,0
27,0,0.0,0.0,0.0,10,0,0
28,0,0.0,0.0,0.0,10,0,0
29,0,0.0,0.0,0.0,10,0,0
30,0,754.0,0.5,0.2,3,6,0
31,0,0.0,0.0,0.0,10,0,0
32,0,0.0,0.0,0.0,10,0,0
33,0,424.0,0.5,1.4,3,12,0
34,0,1995.0,1.5,0.6666666666666666,2,5,0
35,0,0.0,0.0,0.0,10,0,0
36,0,600.0,2.0,1.0,3,2,0
37,0,804.0,2.0,0.2857142857142857,3,9,0
38,0,0.0,0.0,0.0,10,0,0
39,0,1200.0,0.0,0.0,2,1,0
40,0,0.0,0.0,0.0,10,0,0
41,0,0.0,0.0,0.0,10,0,0
42,0,0.0,0.0,0.0,10,0,0
43,0,0.0,0.0,0.0,10,0,0
44,0,402.0,0.0,2.0,3,2,0
45,0,651.0,3.0,0.3333333333333333,3,4,2
